video_title,channel,link
Nativ Shifty,Belters,https://www.youtube.com/watch?v=tkCnxwzK89Y&list=LL4qfihPte8I5oE-bua9Px3w&index=55&t=0s
Special Request - VORTEX 150 [Houndstooth],Houndstooth,https://www.youtube.com/watch?v=DRd0yma9xdE&list=LL4qfihPte8I5oE-bua9Px3w&index=56&t=0s
Peder Mannerfelt - Sissel & Bass (Perc Remix) [PM008],cobra cobra,https://www.youtube.com/watch?v=Q8TERchIwuQ&list=LL4qfihPte8I5oE-bua9Px3w&index=57&t=0s
Structure - Struc Eight - A1 - Madonna 303 - I Love You More Than Sex Can Say (Tribal Jam Mix),akaicrew,https://www.youtube.com/watch?v=pjxQ6U_vg34&list=LL4qfihPte8I5oE-bua9Px3w&index=58&t=0s
De Grandi - Steve 3,Paradoxe Club,https://www.youtube.com/watch?v=7VoN8nnWuw8&list=LL4qfihPte8I5oE-bua9Px3w&index=59&t=0s
Kassem Mosse - Holding Firm [OM-KMOS-1],Electronic Love Collective,https://www.youtube.com/watch?v=z9OwXNevaRc&list=LL4qfihPte8I5oE-bua9Px3w&index=60&t=0s
Beaumont - Tokyo,Danco303,https://www.youtube.com/watch?v=zpm2TWjySF8&list=LL4qfihPte8I5oE-bua9Px3w&index=61&t=0s
Pulse - Showdown (1985),FuNkyTuTu691,https://www.youtube.com/watch?v=S_aDqI6gXy0&list=LL4qfihPte8I5oE-bua9Px3w&index=62&t=0s
"Hedgehog Affair - Oh My God, I'm A D.J.",vinylpusherman,https://www.youtube.com/watch?v=1Cpg3Jd1pYI&list=LL4qfihPte8I5oE-bua9Px3w&index=63&t=0s
VTSS - Sober Raving,Obscure,https://www.youtube.com/watch?v=WRfFT47WJO8&list=LL4qfihPte8I5oE-bua9Px3w&index=64&t=0s
Dots - Friendly cortex,無の雰囲気,https://www.youtube.com/watch?v=8GRrXoszM98&list=LL4qfihPte8I5oE-bua9Px3w&index=65&t=0s
Boards Of Canada -- Amo Bishop Roden,ballacid,https://www.youtube.com/watch?v=sFBMIra45lU&list=LL4qfihPte8I5oE-bua9Px3w&index=66&t=0s
L. F. T. -- Nucleon,ballacid,https://www.youtube.com/watch?v=fFkEohFUf8g&list=LL4qfihPte8I5oE-bua9Px3w&index=67&t=0s
Emilia Sisco - Don't Believe You Like That (feat. Cold Diamond & Mink),Timmion Records,https://www.youtube.com/watch?v=MqPj2k4MOJ4&list=LL4qfihPte8I5oE-bua9Px3w&index=68&t=0s
Greg Foat - Drifting [Audio] (3 of 7),Athens of The North,https://www.youtube.com/watch?v=a82i1DJHhg0&list=LL4qfihPte8I5oE-bua9Px3w&index=69&t=0s
Piero Piccioni Music - The Best of (High Quality Audio) HD,Cinema Hotel,https://www.youtube.com/watch?v=ZRPMUBHedy8&list=LL4qfihPte8I5oE-bua9Px3w&index=70&t=0s
Шакке (Schacke) - Kisloty People [КЛУБ001],HATE,https://www.youtube.com/watch?v=FundLlhlUgk&list=LL4qfihPte8I5oE-bua9Px3w&index=71&t=0s
Deevai - Peroni,Techno Scene,https://www.youtube.com/watch?v=0bPY29_Vxns&list=LL4qfihPte8I5oE-bua9Px3w&index=72&t=0s
Mat Carter - Roll-Out To...,Atro,https://www.youtube.com/watch?v=GP88kuKHM5Q&list=LL4qfihPte8I5oE-bua9Px3w&index=73&t=0s
Mat carter - 7 Zark 7,TheMitabiciclista,https://www.youtube.com/watch?v=mf-AX2VJsIU&list=LL4qfihPte8I5oE-bua9Px3w&index=74&t=0s
Coil - Theme from Gay Man's Guide for Safer Sex (HQ),MrVoid93,https://www.youtube.com/watch?v=FB08EXEB5wk&list=LL4qfihPte8I5oE-bua9Px3w&index=75&t=0s
FLOATING POINTS - TRULY,greinna,https://www.youtube.com/watch?v=5xqhSW5ipdI&list=LL4qfihPte8I5oE-bua9Px3w&index=76&t=0s
Moderat - Porc#1,Diren Başol,https://www.youtube.com/watch?v=Obb6ycXoaKM&list=LL4qfihPte8I5oE-bua9Px3w&index=77&t=0s
Luca Lozano -- Ton,ballacid,https://www.youtube.com/watch?v=XyMQf0AMWJ0&list=LL4qfihPte8I5oE-bua9Px3w&index=78&t=0s
Rian Treanor - Contra_A2,cool boy,https://www.youtube.com/watch?v=cvQuAaOq_7U&list=LL4qfihPte8I5oE-bua9Px3w&index=79&t=0s
DJ Assault - Say My Name,GH,https://www.youtube.com/watch?v=gSUziGSoWqM&list=LL4qfihPte8I5oE-bua9Px3w&index=80&t=0s
Move D / Namlook - Lastec,Grigorij Arlt,https://www.youtube.com/watch?v=48jhS7YSNAA&list=LL4qfihPte8I5oE-bua9Px3w&index=81&t=0s
move d - between us,CologneWater05,https://www.youtube.com/watch?v=XAFq3PoSsEQ&list=LL4qfihPte8I5oE-bua9Px3w&index=82&t=0s
Fred P. - Soul Life Connection,0Imtheslime0,https://www.youtube.com/watch?v=i6ZQFeBBuRk&list=LL4qfihPte8I5oE-bua9Px3w&index=83&t=0s
Move D - To The Disco 77 (Original Mix),nudeepelectronic,https://www.youtube.com/watch?v=YEUGpGRQi4g&list=LL4qfihPte8I5oE-bua9Px3w&index=84&t=0s
Move D - Jus House,prop4g,https://www.youtube.com/watch?v=BxvBk_dSrKQ&list=LL4qfihPte8I5oE-bua9Px3w&index=85&t=0s
Amadou & Mariam- Je Pense A Toi (Henrik Schwarz Remix),bigfish0802,https://www.youtube.com/watch?v=6sMyhV_wAWg&list=LL4qfihPte8I5oE-bua9Px3w&index=86&t=0s
Mari Boine - Vuoi Vuoi Me (Henrik Schwarz Remix),jigokujigoku777,https://www.youtube.com/watch?v=-cpC49h-xbw&list=LL4qfihPte8I5oE-bua9Px3w&index=87&t=0s
Seekae - Test & Recognise,Future Classic,https://www.youtube.com/watch?v=S78pfy37SN8&list=LL4qfihPte8I5oE-bua9Px3w&index=88&t=0s
Seekae - Test & Recognise (Flume Re-Work),Flume,https://www.youtube.com/watch?v=wMzIHuWh_I0&list=LL4qfihPte8I5oE-bua9Px3w&index=89&t=0s
Far Caspian - The Heights [Full EP],Nice Guys,https://www.youtube.com/watch?v=tTR4D9h3zAE&list=LL4qfihPte8I5oE-bua9Px3w&index=90&t=0s
Korolev - One (Full EP 2019),Underrated Albums,https://www.youtube.com/watch?v=EkbI21F8KFw&list=LL4qfihPte8I5oE-bua9Px3w&index=91&t=0s
Craig David & Robbie Craig - Woman Trouble,Albert Casanova,https://www.youtube.com/watch?v=up2gtI9vJkg&list=LL4qfihPte8I5oE-bua9Px3w&index=92&t=0s
Nicolas Etorena - Melosst [EYA003],noia,https://www.youtube.com/watch?v=IN5OjXgz0Ec&list=LL4qfihPte8I5oE-bua9Px3w&index=93&t=0s
Chemise - She Can't Love You (1982),OpossumEvent,https://www.youtube.com/watch?v=rcISKo1wFk4&list=LL4qfihPte8I5oE-bua9Px3w&index=94&t=0s
You & I,Dabeull,https://www.youtube.com/watch?v=2e8x3fFZP3Q&list=LL4qfihPte8I5oE-bua9Px3w&index=95&t=0s
Vagara - Viajes Con Balam [Southside of Saturn – SOS01CA],noia,https://www.youtube.com/watch?v=-arnrwUdQy0&list=LL4qfihPte8I5oE-bua9Px3w&index=96&t=0s
Daïf - Year Zero [OTH001],noia,https://www.youtube.com/watch?v=GVp_da7dsWg&list=LL4qfihPte8I5oE-bua9Px3w&index=97&t=0s
Bonobo : Linked (Official Audio),Bonobo,https://www.youtube.com/watch?v=0W-a11Tdk7Y&list=LL4qfihPte8I5oE-bua9Px3w&index=98&t=0s
Rhythm & Sound - See Mi Version [Basic Reshape],decozz i,https://www.youtube.com/watch?v=G8jJfDFbQa4&list=LL4qfihPte8I5oE-bua9Px3w&index=99&t=0s
Timm Kawohl - Cascades (Dennis DeSantis Remix) [THN073],dis kevich,https://www.youtube.com/watch?v=Qpxb204EHpA&list=LL4qfihPte8I5oE-bua9Px3w&index=100&t=0s
Dennis DeSantis - Thin Air,Droid-Life Interface,https://www.youtube.com/watch?v=xAxLnJG2cuo&list=LL4qfihPte8I5oE-bua9Px3w&index=101&t=0s
Viewtiful Joe - ½ For Service,Ravier 2000,https://www.youtube.com/watch?v=HWIhHyONs9o&list=LL4qfihPte8I5oE-bua9Px3w&index=102&t=0s
Henrik Schwarz & Kuniyuki - Once Again (Henrik Schwarz Version),IIunnamedII,https://www.youtube.com/watch?v=UCXLGzwT-Yw&list=LL4qfihPte8I5oE-bua9Px3w&index=103&t=0s
PREMIERE: Conversion - 1.4 [Conversion],Ransom Note,https://www.youtube.com/watch?v=Y_2hHAW3aEo&list=LL4qfihPte8I5oE-bua9Px3w&index=104&t=0s
"alanis morissette - live in london, england (july 13th 2018)",Joseph Miller,https://www.youtube.com/watch?v=7D_H9gpWpG8&list=LL4qfihPte8I5oE-bua9Px3w&index=105&t=0s
Nas1 - Peli Peli [VA. Bosconi Stallions Vol.II - BoscoLP03],BosconiRecords Firenze,https://www.youtube.com/watch?v=SKaCU7Cxp0s&list=LL4qfihPte8I5oE-bua9Px3w&index=106&t=0s
Boy Harsher - Careful 2019 Full Album,ZAUBER,https://www.youtube.com/watch?v=e33b5rW8zS0&list=LL4qfihPte8I5oE-bua9Px3w&index=107&t=0s
Karsten Pflum -- Uric Fusee,ballacid,https://www.youtube.com/watch?v=YsXOvx1sz-U&list=LL4qfihPte8I5oE-bua9Px3w&index=108&t=0s
Makesome Breaksome - Bong,kalo rifer,https://www.youtube.com/watch?v=zBKgHt7fmWY&list=LL4qfihPte8I5oE-bua9Px3w&index=109&t=0s
Waven - Bodin | GOSU [2018],some uncertain sir,https://www.youtube.com/watch?v=uE1V3SpQLMw&list=LL4qfihPte8I5oE-bua9Px3w&index=110&t=0s
oh. - Charme 75,Ravier 2000,https://www.youtube.com/watch?v=fKSPsmVb_Ts&list=LL4qfihPte8I5oE-bua9Px3w&index=111&t=0s
In State Of Flux - Harpy Thing [ISM 13],VNRD,https://www.youtube.com/watch?v=sce1Lq3JmyE&list=LL4qfihPte8I5oE-bua9Px3w&index=112&t=0s
Phil Merral - Bong Master,Guilhem,https://www.youtube.com/watch?v=STWHrzMHfUw&list=LL4qfihPte8I5oE-bua9Px3w&index=113&t=0s
Durutti Column - For Belgian Friends,parkhill62,https://www.youtube.com/watch?v=YDyzOQuBm20&list=LL4qfihPte8I5oE-bua9Px3w&index=114&t=0s
Textasy - Déjà Vu Bass (ft. DJ Di'jital),Desert_ Essence971,https://www.youtube.com/watch?v=lgPZP5GbcUY&list=LL4qfihPte8I5oE-bua9Px3w&index=115&t=0s
Theus Mago - Siri Will Rise [OMDD009],Electronic Love Collective,https://www.youtube.com/watch?v=tXDZjTKv-uY&list=LL4qfihPte8I5oE-bua9Px3w&index=116&t=0s
Charonne - Luv'omatic [LMML015],CMYK,https://www.youtube.com/watch?v=EeR00fevPA4&list=LL4qfihPte8I5oE-bua9Px3w&index=117&t=0s
Phunk (Steve Angello Re-Edit),Shindoe - Topic,https://www.youtube.com/watch?v=RDRDYU-M9UE&list=LL4qfihPte8I5oE-bua9Px3w&index=118&t=0s
Roman Flügel - Lovedancing,callmeapineapple,https://www.youtube.com/watch?v=hxeg5CAvzeQ&list=LL4qfihPte8I5oE-bua9Px3w&index=119&t=0s
Dntel - Dream Of Evan And Chan (Superpitcher Kompakt rmx),HiddenBitious,https://www.youtube.com/watch?v=9PVorE74HfA&list=LL4qfihPte8I5oE-bua9Px3w&index=120&t=0s
Radio Slave - Tantakatan (Original Mix),rekids,https://www.youtube.com/watch?v=XTMpXjjtB6k&list=LL4qfihPte8I5oE-bua9Px3w&index=121&t=0s
Sound Stream - Makin' Love (Sound Stream),Housetraxx,https://www.youtube.com/watch?v=kFF0v0FQzEI&list=LL4qfihPte8I5oE-bua9Px3w&index=122&t=0s
Chez Damier - Untitled B1 (KMS049),UGLYHOUSE100,https://www.youtube.com/watch?v=TmTYH4UNPO0&list=LL4qfihPte8I5oE-bua9Px3w&index=123&t=0s
Azymuth - Jazz Carnival (Global Communication Space Jazz Mix),KC,https://www.youtube.com/watch?v=wAIIc0EobBY&list=LL4qfihPte8I5oE-bua9Px3w&index=124&t=0s
Lontano - Lovebass,Bruno Bezerra,https://www.youtube.com/watch?v=Ks54J9iRLO4&list=LL4qfihPte8I5oE-bua9Px3w&index=125&t=0s
"DJ Du Jour - A Fish Scene [Session, 1999]",DeepDown,https://www.youtube.com/watch?v=xFgj-mxCkRw&list=LL4qfihPte8I5oE-bua9Px3w&index=126&t=0s
"Juicy Fruit ""Liferaft""",HeavenlyHouse,https://www.youtube.com/watch?v=0QDWQ0NtnLE&list=LL4qfihPte8I5oE-bua9Px3w&index=127&t=0s
The Hasbeens - Make The World Go Away,Maik Schneider,https://www.youtube.com/watch?v=b2RVUPe7ME4&list=LL4qfihPte8I5oE-bua9Px3w&index=128&t=0s
Charonne & Loop Exposure - State Violence [ZORA003 - Rakya Liquor Store Vol.1],Rakya,https://www.youtube.com/watch?v=1rnUgbxLF70&list=LL4qfihPte8I5oE-bua9Px3w&index=129&t=0s
Loop Exposure - Vayalé [BR003],CMYK,https://www.youtube.com/watch?v=X-fjgo1Oujk&list=LL4qfihPte8I5oE-bua9Px3w&index=130&t=0s
Loop Exposure - Manger Bouger [ZORA002],Rakya,https://www.youtube.com/watch?v=7WcddqpLcvY&list=LL4qfihPte8I5oE-bua9Px3w&index=131&t=0s
